GDP_SeriesID,Country,Stock_index
NGDPRNSAXDCARQ,Argentina,^MERV
NGDPRNSAXDCAUQ,Australia,^AXJO
NGDPRNSAXDCBRQ,Brazil,^BVSP
NGDPRNSAXDCDEQ,Germany,^GDAXI
NGDPRNSAXDCESQ,Estonia,^OMXT
NGDPRNSAXDCFRQ,France,^FCHI
NGDPRNSAXDCGBQ,Great Britain,^FTSE
NGDPRNSAXDCIDQ,Indonesia,^JKSE
NGDPRNSAXDCINQ,India,^BSESN
NGDPRNSAXDCITQ,Italy,^BIT40P
NGDPRNSAXDCJPQ,Japan,^N225
NGDPRNSAXDCKRQ,Republic of Korea,^KS11
NGDPRNSAXDCMXQ,Mexico,^MXX
NGDPRNSAXDCPLQ,Poland,^PTL
NGDPRNSAXDCRUQ,Russia,IMOEX.ME
NGDPRNSAXDCSAQ,Saudi Arabia,^TASI.SR
NGDPRNSAXDCTRQ,Turkey,XU100.IS
NGDPRSAXDCUSQ,United States,^DJA
NGDPRNSAXDCZAQ,South Africa,JSEJF
