GDP_SeriesID,Country,Stock_index
NGDPRSAXDCARQ,Argentina,^MERV
NGDPRSAXDCAUQ,Australia,^AXJO
NGDPRSAXDCBRQ,Brazil,^BVSP
NGDPRSAXDCDEQ,Germany,^GDAXI
NGDPRSAXDCESQ,Estonia,^OMXT
NGDPRSAXDCFRQ,France,^FCHI
NGDPRSAXDCGBQ,Great Britain,^FTSE
NGDPRSAXDCIDQ,Indonesia,^JKSE
NGDPRSAXDCINQ,India,^BSESN
NGDPRSAXDCITQ,Italy,^BIT40P
NGDPRSAXDCJPQ,Japan,^N225
NGDPRSAXDCKRQ,Republic of Korea,^KS11
NGDPRSAXDCMXQ,Mexico,^MXX
NGDPRSAXDCPLQ,Poland,^PTL
NGDPRSAXDCRUQ,Russia,IMOEX.ME
NGDPRSAXDCSAQ,Saudi Arabia,^TASI.SR
NGDPRSAXDCTRQ,Turkey,XU100.IS
NGDPRSAXDCUSQ,United States,^DJA
NGDPRSAXDCZAQ,South Africa,JSEJF
