series id,id,title,frequency
FPCPITOTLZGUSA,FPCPITOTLZGUSA,"Inflation, consumer prices for the United States",Annual
SIPOVGINIUSA,SIPOVGINIUSA,GINI Index for the United States,Annual
MKTGDPCNA646NWDB,MKTGDPCNA646NWDB,Gross Domestic Product for China,Annual
MKTGDPJPA646NWDB,MKTGDPJPA646NWDB,Gross Domestic Product for Japan,Annual
MKTGDPGBA646NWDB,MKTGDPGBA646NWDB,Gross Domestic Product for United Kingdom,Annual
SPDYNCBRTINUSA,SPDYNCBRTINUSA,Crude Birth Rate for the United States,Annual
MKTGNIUSA646NWDB,MKTGNIUSA646NWDB,Gross National Income for United States,Annual
SPDYNTFRTINUSA,SPDYNTFRTINUSA,"Fertility Rate, Total for the United States",Annual
POPTOTUSA647NWDB,POPTOTUSA647NWDB,"Population, Total for United States",Annual
POPTOTUS52647NWDB,POPTOTUS52647NWDB,"Population, Total for United States",5 Year
NYGDPPCAPKDUSA,NYGDPPCAPKDUSA,Constant GDP per capita for the United States,Annual
FPCPITOTLZGJPN,FPCPITOTLZGJPN,"Inflation, consumer prices for Japan",Annual
NYGDPPCAPKDCHN,NYGDPPCAPKDCHN,Constant GDP per capita for China,Annual
ECBASSETSW,ECBASSETSW,Central Bank Assets for Euro Area (11-19 Countries),Weekly
NYGDPPCAPKDJPN,NYGDPPCAPKDJPN,Constant GDP per capita for Japan,Annual
DEBTTLJPA188A,DEBTTLJPA188A,"Central government debt, total (% of GDP) for Japan",Annual
FPCPITOTLZGGBR,FPCPITOTLZGGBR,"Inflation, consumer prices for the United Kingdom",Annual
SPPOPGROWUSA,SPPOPGROWUSA,Population Growth for the United States,Annual
DDOI131WA156NWDB,DDOI131WA156NWDB,Percentage of Foreign Banks Among Total Banks for World (DISCONTINUED),Annual
MKTGDPDEA646NWDB,MKTGDPDEA646NWDB,Gross Domestic Product for Germany,Annual
ECBDFR,ECBDFR,ECB Deposit Facility Rate for Euro Area,"Daily, 7-Day"
BOGZ1FA284116005Q,BOGZ1FA284116005Q,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FU264016005A,BOGZ1FU264016005A,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Transactions",Annual
BOGZ1FU264016005Q,BOGZ1FU264016005Q,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Transactions",Quarterly
BOGZ1FA284116005A,BOGZ1FA284116005A,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
