DATE,NGDPDSAIXARQ,NGDPDSAIXAUQ,NGDPDSAIXBRQ,NGDPDSAIXCAQ,NGDPDSAIXDEQ,NGDPDSAIXESQ,NGDPDSAIXFRQ,NGDPDSAIXGBQ,NGDPDSAIXIDQ,NGDPDSAIXITQ,NGDPDSAIXJPQ,NGDPDSAIXKRQ,NGDPDSAIXMXQ,NGDPDSAIXPLQ,NGDPDSAIXTRQ,NGDPDSAIXUSQ,NGDPDSAIXZAQ,NGDPNSAXDCARQ,NGDPNSAXDCAUQ,NGDPNSAXDCBRQ,NGDPNSAXDCCAQ,NGDPNSAXDCDEQ,NGDPNSAXDCESQ,NGDPNSAXDCFRQ,NGDPNSAXDCGBQ,NGDPNSAXDCIDQ,NGDPNSAXDCINQ,NGDPNSAXDCITQ,NGDPNSAXDCJPQ,NGDPNSAXDCKRQ,NGDPNSAXDCMXQ,NGDPNSAXDCPLQ,NGDPNSAXDCRUQ,NGDPNSAXDCSAQ,NGDPNSAXDCTRQ,NGDPNSAXDCUSQ,NGDPNSAXDCZAQ,NGDPRNSAXDCARQ,NGDPRNSAXDCAUQ,NGDPRNSAXDCBRQ,NGDPRNSAXDCDEQ,NGDPRNSAXDCESQ,NGDPRNSAXDCFRQ,NGDPRNSAXDCGBQ,NGDPRNSAXDCIDQ,NGDPRNSAXDCINQ,NGDPRNSAXDCITQ,NGDPRNSAXDCJPQ,NGDPRNSAXDCKRQ,NGDPRNSAXDCMXQ,NGDPRNSAXDCPLQ,NGDPRNSAXDCRUQ,NGDPRNSAXDCSAQ,NGDPRNSAXDCTRQ,NGDPRNSAXDCUSQ,NGDPRNSAXDCZAQ,NGDPRSAXDCARQ,NGDPRSAXDCAUQ,NGDPRSAXDCBRQ,NGDPRSAXDCCAQ,NGDPRSAXDCDEQ,NGDPRSAXDCESQ,NGDPRSAXDCFRQ,NGDPRSAXDCGBQ,NGDPRSAXDCIDQ,NGDPRSAXDCITQ,NGDPRSAXDCJPQ,NGDPRSAXDCKRQ,NGDPRSAXDCMXQ,NGDPRSAXDCPLQ,NGDPRSAXDCSAQ,NGDPRSAXDCTRQ,NGDPRSAXDCUSQ,NGDPRSAXDCZAQ,NGDPSAXDCARQ,NGDPSAXDCAUQ,NGDPSAXDCBRQ,NGDPSAXDCCAQ,NGDPSAXDCDEQ,NGDPSAXDCESQ,NGDPSAXDCFRQ,NGDPSAXDCGBQ,NGDPSAXDCIDQ,NGDPSAXDCITQ,NGDPSAXDCJPQ,NGDPSAXDCKRQ,NGDPSAXDCMXQ,NGDPSAXDCPLQ,NGDPSAXDCTRQ,NGDPSAXDCUSQ,NGDPSAXDCZAQ,USJO,USU,USE,USP,USProj-hi,US_Proj-lo,Lockdowns
1/1/50,,,,,,,,,,,,,,,,13.35514105,,,,,,,,,,,,,,,,,,,,68032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586526,,,,,,,,,,,,,,,,,70207,,,,58761.33333,150786,333287557,333287557,0
4/1/50,,,,,,,,,,,,,,,,13.40070485,,,,,,,,,,,,,,,,,,,,70872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604420.5,,,,,,,,,,,,,,,,,72595.8,,,,59457.66667,151319,335674990,334393850,0
7/1/50,,,,,,,,,,,,,,,,13.6915716,,,,,,,,,,,,,,,,,,,,77178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627781.8,,,,,,,,,,,,,,,,,77038.3,,,,59643,151973,338020369,335456707,0
10/1/50,,,,,,,,,,,,,,,,13.94839792,,,,,,,,,,,,,,,,,,,,83746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639803.5,,,,,,,,,,,,,,,,,79986.3,,,,59899.33333,152658,340326253,336476277,0
1/1/51,,,,,,,,,,,,,,,,14.45207243,,,,,,,,,,,,,,,,,,,,81603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648491.8,,,,,,,,,,,,,,,,,84000,,,,59899,153291,342598169,337456326,0
4/1/51,,,,,,,,,,,,,,,,14.54804982,,,,,,,,,,,,,,,,,,,,84645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659724.5,,,,,,,,,,,,,,,,,86022.5,,,,59954.33333,153902,344834800,338394345,0
7/1/51,,,,,,,,,,,,,,,,14.55662338,,,,,,,,,,,,,,,,,,,,87586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673314.8,,,,,,,,,,,,,,,,,87846.3,,,,60114.33333,154610,347032737,339286208,0
10/1/51,,,,,,,,,,,,,,,,14.72293645,,,,,,,,,,,,,,,,,,,,93076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674789,,,,,,,,,,,,,,,,,89044.5,,,,60276.66667,155344,349190042,340129713,0
1/1/52,,,,,,,,,,,,,,,,14.71646794,,,,,,,,,,,,,,,,,,,,87610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681988.5,,,,,,,,,,,,,,,,,89955,,,,60107.66667,155976,351302667,340920945,0
4/1/52,,,,,,,,,,,,,,,,14.73438062,,,,,,,,,,,,,,,,,,,,88913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683450,,,,,,,,,,,,,,,,,90257.5,,,,60094,156587,353365490,341655257,0
