Date,JMSMX Index  (R1),SPX Index  (L1),Returns_JM,Before,During,After
4/30/24,322033.61,5035.69,-1.76%,0,0,0
3/29/24,327798.69,5254.35,-2.47%,0,0,0
2/29/24,336105.09,5096.27,2.32%,0,0,0
1/31/24,328475.09,4845.65,0.85%,0,0,0
12/29/23,325699.81,4769.83,3.35%,0,0,0
11/30/23,315147.59,4567.8,-1.15%,0,0,0
10/31/23,318800.81,4193.8,-2.52%,0,0,0
9/29/23,327042.41,4288.05,1.65%,0,0,0
8/31/23,321731.81,4507.66,-1.43%,0,0,0
7/31/23,326405.41,4588.96,-1.70%,0,0,0
6/30/23,332034.91,4450.38,-1.34%,0,0,0
5/31/23,336533.91,4179.83,-0.46%,0,0,0
4/28/23,338081.81,4169.48,-0.72%,0,0,0
3/31/23,340535.91,4109.31,1.76%,0,0,0
2/28/23,334642.19,3970.15,-1.67%,0,0,0
1/31/23,340327.31,4076.6,-4.37%,0,0,0
12/30/22,355896.59,3839.5,5.05%,0,0,0
11/30/22,338794.5,4080.11,-2.55%,0,0,0
10/31/22,347651,3871.98,-3.88%,0,0,0
9/30/22,361691.59,3585.62,0.67%,0,0,0
8/31/22,359294.69,3955,-4.36%,0,0,0
7/29/22,375693.41,4130.29,-2.21%,0,0,0
6/30/22,384185.81,3785.38,-2.59%,0,0,0
5/31/22,394412.59,4132.15,-1.85%,0,0,0
4/29/22,401858.41,4131.93,2.72%,0,0,0
3/31/22,391232,4530.41,0.03%,0,0,0
2/28/22,391123.19,4373.94,-2.62%,0,0,0
1/31/22,401660.09,4515.55,1.39%,0,0,0
12/31/21,396155.59,4766.18,-0.42%,0,0,0
11/30/21,397830.69,4567,-1.52%,0,0,0
10/29/21,403965,4605.38,-2.63%,0,0,0
9/30/21,414890,4307.54,-0.71%,0,0,0
8/31/21,417864.91,4522.68,-1.48%,0,0,0
7/30/21,424135,4395.26,-0.34%,0,0,0
6/30/21,425564.19,4297.5,0.82%,0,0,0
5/31/21,422098.59,4204.11,3.45%,0,0,0
4/30/21,408023,4181.17,6.14%,0,0,0
3/31/21,384426,3972.89,-2.56%,0,0,0
2/26/21,394528.81,3811.15,1.70%,0,0,0
1/29/21,387937.81,3714.24,-1.94%,0,0,0
12/31/20,395614.91,3756.07,-0.99%,0,0,0
11/30/20,399576.09,3621.63,6.44%,0,0,0
10/30/20,375386.41,3269.96,-1.32%,1,0,0
9/30/20,380426,3363,2.74%,0,1,0
8/31/20,370282.69,3500.31,0.44%,0,0,1
7/31/20,368678.8,3271.12,-2.73%,0,0,0
6/30/20,379044.41,3100.29,-1.20%,0,0,0
5/29/20,383649.97,3044.31,5.39%,0,0,0
4/30/20,364045.97,2912.43,-4.01%,0,0,0
3/31/20,379242.12,2584.59,-21.37%,0,0,0
2/28/20,482310.09,2954.22,-3.63%,0,0,0
1/31/20,500463.34,3225.52,-1.85%,0,0,0
12/31/19,509916.44,3230.78,1.70%,0,0,0
11/29/19,501372.5,3140.98,1.25%,0,0,0
10/31/19,495187.91,3037.56,-4.04%,0,0,0
9/30/19,516042.91,2976.74,-0.42%,0,0,0
8/30/19,518218.09,2926.46,-1.05%,0,0,0
7/31/19,523740.09,2980.38,11.94%,0,0,0
