Date,bovprice,bovreturn,snpprice,snpreturn,election_month,before_election,after_election
4/1/24,"124,475",-2.83%,"5,056.70",-3.76%,0,0,0
3/1/24,"128,106",-0.71%,"5,254.40",3.10%,0,0,0
2/1/24,"129,020",0.99%,"5,096.30",5.17%,0,0,0
1/1/24,"127,752",-4.79%,"4,845.60",1.59%,0,0,0
12/1/23,"134,185",5.38%,"4,769.80",4.42%,0,0,0
11/1/23,"127,331",12.54%,"4,567.80",8.92%,0,0,0
10/1/23,"113,144",-2.94%,"4,193.80",-2.20%,0,0,0
9/1/23,"116,565",0.71%,"4,288.10",-4.87%,0,0,0
8/1/23,"115,742",-5.09%,"4,507.70",-1.77%,0,0,0
7/1/23,"121,943",3.27%,"4,589.00",3.11%,0,0,0
6/1/23,"118,087",9.00%,"4,450.40",6.47%,0,0,0
5/1/23,"108,335",3.74%,"4,179.80",0.25%,0,0,0
4/1/23,"104,432",2.50%,"4,169.50",1.46%,0,0,0
3/1/23,"101,882",-2.91%,"4,109.30",3.50%,0,0,0
2/1/23,"104,932",-7.49%,"3,970.20",-2.61%,0,0,0
1/1/23,"113,431",3.37%,"4,076.60",6.18%,0,0,0
12/1/22,"109,735",-2.45%,"3,839.50",-5.90%,0,0,1
11/1/22,"112,486",-3.06%,"4,080.10",5.37%,0,0,1
10/1/22,"116,037",5.45%,"3,872.00",7.99%,1,0,0
9/1/22,"110,037",0.47%,"3,585.60",-9.34%,0,1,0
8/1/22,"109,523",6.16%,"3,955.00",-4.24%,0,1,0
7/1/22,"103,165",4.69%,"4,130.30",9.11%,0,0,0
6/1/22,"98,542",-11.50%,"3,785.40",-8.39%,0,0,0
5/1/22,"111,351",3.22%,"4,132.10",0.00%,0,0,0
4/1/22,"107,876",-10.10%,"4,131.90",-8.80%,0,0,0
3/1/22,"119,999",6.06%,"4,530.40",3.58%,0,0,0
2/1/22,"113,142",0.89%,"4,373.90",-3.14%,0,0,0
1/1/22,"112,144",6.98%,"4,515.60",-5.26%,0,0,0
12/1/21,"104,822",2.85%,"4,766.20",4.36%,0,0,0
11/1/21,"101,916",-1.53%,"4,567.00",-0.83%,0,0,0
10/1/21,"103,501",-6.74%,"4,605.40",6.92%,0,0,0
9/1/21,"110,979",-6.57%,"4,307.50",-4.76%,0,0,0
8/1/21,"118,781",-2.48%,"4,522.70",2.90%,0,0,0
7/1/21,"121,801",-3.94%,"4,395.30",2.28%,0,0,0
6/1/21,"126,802",0.46%,"4,297.50",2.22%,0,0,0
5/1/21,"126,216",6.16%,"4,204.10",0.55%,0,0,0
4/1/21,"118,894",1.94%,"4,181.20",5.24%,0,0,0
3/1/21,"116,634",6.00%,"3,972.90",4.24%,0,0,0
2/1/21,"110,035",-4.37%,"3,811.20",2.61%,0,0,0
1/1/21,"115,068",-3.32%,"3,714.20",-1.12%,0,0,0
